title,media
Joe Biden described being an 'odd man out' with Democrats on abortion in 2006 interview,"Former Vice President Joe Biden described himself in 2006 as an ""odd man out"" within his own party on the issue of abortion, saying he made all sides angry ..."
Biden campaign's self-inflicted error is one it can't really afford,"Biden campaign is guilty of political malpractice for lifting words for its policy plans, a mistake the Democratic frontrunner can ill afford."
Biden sidesteps questions about his son's foreign business dealings but promises ethics pledge,Democratic presidential candidate Joe Biden declined to answer questions on the campaign trail this week about his son's overseas business dealings in ...
Joe Biden on Abortion and the Hyde Amendment,"For all Joseph R. Biden Jr.'s efforts to focus his campaign on the economy and the middle class, he has been unable to escape his past views on more ..."
Biden blasted for comments on segregationist senators,Former Vice President Joe Biden is facing criticism for pointing to two segregationist senators as examples of colleagues he could work with during an era where ...
Joe Biden goes south,"Former Vice President Joe Biden ignored my warning to stay out of sight for the first six months of the presidential primary campaign, and instead has stepped ..."
LISTEN: Biden Supported A Constitutional Amendment To End Mandated Busing In 1975,"In an NPR interview, a young Sen. Joe Biden was asked about whether he would support a constitutional amendment to limit court-ordered busing ""if it can't be ..."
Biden: Our Latin America policies are morally bankrupt. Mine reflect American values,"Former Vice President Joe Biden called out President Trump.'s Latin America policies, saying they drive immigration to the US. The 2020 Democratic candidate ..."
Joe Biden on Crime and Mass Incarceration,"During the '80s and '90s, Mr. Biden helped shepherd a string of bills that transformed the criminal justice system — and, experts say, hurt America's black ..."
Why Joe Biden had to work with segregationists,"At Thursday's Democratic debate, former vice president Joe Biden came under even more fire for bragging about his ability to work with southern segregationists ..."
Why Joe Biden should answer for his record from decades ago,"In the 1970s and 1980s, he helped pull the Democratic Party to the right. Will he do so again?"
Joe Biden’s Haunted Legacy in Iraq,Biden's long and contentious record in the country opens a window onto his foreign policy—and an identity crisis in the Democratic Party. This is the definitive ...
Biden defends 1994 crime bill,Democratic presidential candidate Joe Biden is defending the 1994 crime bill despite many Democrats saying the bill is now indefensible. CNN's Jeff Zeleny ...
Joe Biden Doesn’t Look So Electable in Person,"He may be a likable white man, but his performance on the trail doesn't inspire confidence."
"Joe Biden Visits Stonewall, Saying the Fight for L.G.B.T. Rights Must Continue","For Mr. Biden, a trip to the historic site was a chance to celebrate the gay-rights movement and highlight his own support for L.G.B.T. causes."
Joe Biden’s Glide vs. Elizabeth Warren’s Grind,"Speaking separately at a forum focused on the poor on Monday, Joe Biden and Elizabeth Warren somehow managed to use strikingly similar vernacular when ..."
Joe Biden bragged about a 1992 crime bill's harsh penalties - Business Insider,"In 1992, then-Sen. Joe Biden of Delaware boasted his crime bill would pursue the death penalty for dozens of offenses."
Joe Biden is a candidate of the oligarchy. Democratic primary voters will see through him.,Joe Biden's 'humble roots' shtick has got to go. He is not a friend of the average American and voters will see the real impact of his record.
"Joe Biden: If I'm elected, we're going to cure cancer","At a campaign rally, Democratic presidential candidate Joe Biden told the crowd that if he is elected President, ""we're going to cure cancer."" CNN's Kate Bolduan ..."
Why Joe Biden’s Decades in the Senate Could Hurt His 2020 Presidential Bid,Biden faces the same pitfalls as other ambitious senators who have found that their experience and record can be a liability.
When Joe Biden Was the Candidate of the Young,"A little more than a week before Election Day 1972, readers of Wilmington, Delaware's major newspapers were greeted with a series of advertisements from ..."
Joe Biden probably won’t stop making comments some people find sexist - Business Insider,Former vice president Joe Biden's 2020 presidential campaign has been dogged by questions about the candidate's approach to women since before he ...
Joe Biden is facing fundraising struggles in Silicon Valley,Joe Biden's fundraising roster in Silicon Valley skews older and does not seem to capture much of the new wealth and influence created by today's hot tech ...
Why Joe Biden still has plenty of work to do with black voters,"The former vice president has a big lead with a crucial Democratic voting bloc. But in a field with plenty of options, that support is far from permanent."
Joe Biden And The Disappearing America,Joe Biden's presidential campaign sometimes seems like a promise to restore us to the Obama years. But what's been lost? And when did we have it?
"Joe Biden Says He Can Work With the Senate. The Last Time He Tried, Mitch McConnell Picked His Pockets Badly.","As the year 2012 wound down, Democrats hopefully eyed what looked to be one of the last opportunities for genuine legislative progress in a divided ..."
Joe Biden vs. the rest of the Democratic field,"Matt Viser on why Joe Biden is campaigning with an air of inevitability. Karla Adam on who could become Britain's next prime minister. Plus, Gillian Brockell on a ..."
Attack Biden in the debate? Dem rivals might think twice,Democrats' high praise of the former vice president could come back to haunt them.
Joe Biden’s behavior with girls and women draws scrutiny,"Recent incidents have sparked controversy, but some voters may like Joe Biden just the way he is."
Is Joe Biden the Wrong Man at the Wrong Time?,"In early 2015, it seemed obvious to most political observers (including me) that Jeb Bush was the most likely Republican presidential nominee. He may not have ..."
Cory Booker shuts down Joe Biden: This is what I know,"Democratic presidential candidate Cory Booker responds to rival Joe Biden, who said Booker should apologize to him after the New Jersey senator sharply ..."
Joe Biden Won’t Say If He Backs the Trade Deal He Helped Sell,The Atlantic surveyed the Democratic presidential candidates on whether they support the Trans-Pacific Partnership. Only some took a definitive position.
Opinion: Joe Biden seems to forget his scandals,"Biden might not remember, but the Internal Revenue *Service* leadership aggressively targeted conservative groups to undermine their voice in elections."
"Joe Biden, Elizabeth Warren Bankruptcy Fight Could Come Back In Debates",What a testy 2005 fight between Harvard professor Elizabeth Warren and Delaware Sen. Joe Biden can tell us about the two 2020 presidential candidates.
Biden appears to be softening his stance on the death penalty,Joe Biden said in a 1992 speech that criminal justice legislation he was pushing was so strict that “we do everything but hang people for jaywalking.” Two years ...
How Joe Biden Becomes Unstoppable,"After the first debate, Joe Biden is still polling as the front runner in the 2020 Democratic primary. Here is some math proving there is a way for him to win the ..."
Joe Biden Enters Democratic Debates With Decades Of Experience,"Joe Biden is the only Democratic presidential candidate with a record of national debate experience — stretching more than 30 years — back to 1987, when he ..."
When Joe Biden Collaborated With Segregationists,The candidate's years as an anti-busing crusader cannot be forgotten—or readily forgiven.
Joe Biden's Twitter fight with Amazon perfectly sums up the battle over America's new tax code,"""I have nothing against Amazon, but no company pulling in billions of dollars of profits should pay a lower tax rate than firefighters and teachers,"" Biden says."
Joe Biden's Draft Record Looks a Lot Like Donald Trump's. Do Democrats Care?,He was 6 feet tall and had an athlete's build. He played football in high school and was active in sports throughout college. He spent one summer as a.
"The controversial 1994 crime law that Joe Biden helped write, explained",Joe Biden has taken credit for the 1994 crime law. But critics say the law contributed to mass incarceration.
Joe Biden Bragged About Getting Republicans to Raise Taxes in 2012. It Was Actually a Disaster for Democrats.,It didn't take long for the political classes to decide that the biggest loser in part two of the first Democratic primary debate was former Vice President Joe Biden.
Billionaire GOP donor and Trump supporter says he rejected Joe Biden's request for fundraising help,Democratic frontrunner Joe Biden on Monday appealed to a billionaire Republican donor for fundraising help in his presidential campaign. But the financier ...
Swalwell urges Biden to 'pass the torch' to new generation,"Rep. Eric Swalwell (D-CA) urged former Vice President Joe Biden to ""pass the torch"" to a new generation during night two of the first Democratic debate of the ..."
Did Biden go green enough? Green New Deal advocates split,WASHINGTON (AP) — The climate change activists who vaulted the Green New Deal to prominence in the 2020 presidential campaign got what they wanted ...
Biden’s divergence from other candidates on display at poverty-fighting event,The gap between former vice president Joe Biden and more liberal candidates for the Democratic presidential nomination was on display Monday before ...
Joe Biden tries and fails to keep the press at bay,"All is not well in Bidenland. At a fundraiser on Tuesday night, he brought up his past working relationships with James Eastland and Herman Talmadge, two ..."
Lemon: I understand what Joe Biden was trying to say,CNN's Chris Cuomo and Don Lemon discuss Democratic presidential candidate Joe Biden's remarks that drew strong criticism from his 2020 Democratic rivals.
Why Biden can’t take us back to normal,"A return to yesteryear's politics isn't possible — and it isn't what America needs, even if it were."
The qualities that made Joe Biden an effective running mate in 2008 hurt his 2020 presidential bid | Opinion,"Joe Biden's high-profile flip-flop on the Hyde Amendment last week, and his subsequent dip in the polls is the most recent manifestation of an uncomfortable ..."
"Biden's track record on busing: In 1977, he called it a 'bankrupt policy'","During a news conference on June 28, 1977, then-Sen. Joe Biden, explaining his views on busing, said it was harmful to the civil rights movement in America."
What Joe Biden's 2020 campaign can learn from Jerry Brown,"Joe Biden's age & long career in politics made some people doubt he could beat new candidates like Kamala Harris. Yet after years of Trump chaos, a Jerry ..."
Joe Biden's Praise for Segregationists Spans Decades,"As a liberal Democratic senator before segregationists switched to the GOP, Joe Biden's friendships extended to not only conservatives, but notorious racist ..."
How to Beat Joe Biden,"Where politicians are concerned, especially aging and garrulous ones, it may be a mistake to attribute to strategy what can be chalked up to simple fecklessness ..."
Bipartisan Joe Isn’t Deluded About Working with Republicans,"Joe Biden is getting hammered by his own party for promising a return to bipartisanship. Thing is, it actually worked during the Obama years."
Rep. Richmond takes leader role in Joe Biden bid: He is the right person at the right time,"WASHINGTON — Rep. Cedric Richmond, who was recently named co-chair of Joe Biden's 2020 national presidential campaign, said he started pressing the ..."
"Women's rights are 'under assault,' Joe Biden says at Atlanta event with Beto O'Rourke","ATLANTA — Former vice president Joe Biden and Beto O'Rourke, both vying for the 2020 Democratic presidential nomination, discussed plans to fight voter ..."
How Joe Biden went from 'Stutterhead' to senior class president,Joe Biden was teased throughout his childhood about his debilitating stutter. Overcoming this impediment became a transformative time in his life.
2020 election: Joe Biden's climate change revolution plan shows he's not moderate material,Joe Biden's climate change channeling the Green New Deal plan shows he is no moderate candidate for the 2020 presidential election.
Joe Biden goes after Amazon on the campaign trail - Business Insider,"Former Vice President Joe Biden said he has ""nothing against Amazon,"" but the company should ""pay a few taxes."""
Biden says Cory Booker owes him an apology,Democratic presidential candidate Joe Biden defended his remarks about working with segregationist senators and fired back at rival Cory Booker.
Joe Biden Shares Photo of Matching 'Joe-Barack' Friendship Bracelets on Twitter for #BestFriendsDay,A demonstration against police brutality met with pro-Trump protesters. Then a car hit the intersection.
Joe Biden Can’t Stop Using the Toxic “Lock Up Your Daughters” Joke,"This is a well-worn line in Biden's mental Crowd Work Rolodex, employed time and time again over his long career in politics."
Biden takes flak on race and busing. But his views may still mirror America’s.,"The year that Joe Biden entered the Senate, in 1973, Gallup asked Americans whether they thought busing children from one neighborhood to another was the ..."
Millionaires say they are more likely to vote for Joe Biden over Donald Trump in 2020 elections,"American millionaires would elect Joe Biden over President Donald Trump if the former vice president becomes the Democratic nominee, according the CNBC ..."
Biden’s mission: Don’t punch down,"In past debates, Biden has knocked it out of the park. But this time he's the central target on a crowded stage and he's been coached to avoid conflict."
Biden lands 2020 endorsement from Atlanta Mayor Bottoms,"The mayor of Atlanta is endorsing Democrat Joe Biden for president in 2020, providing crucial support from a high-profile black female political leader. Atlanta ..."
Anita Hill now says 'of course' she could vote for Joe Biden if he becomes nominee,"Anita Hill, in a new interview, says she doesn't rule out voting for Joe Biden despite her criticism of his handling of the 1991 Clarence Thomas confirmation ..."
"For Joe Biden, Friendship Is Magic",His praise of white supremacists is not a blunder but a key to his clubby worldview.
