title,media
Biden's Minimum Book Income Tax Proposal Would Create Needless Complexity,"Last week, Bloomberg reported that Democratic presidential candidate Joe Biden will propose a “minimum book tax” of 15 percent on firms with $100 million or ..."
The Daily 202: Joe Biden is putting the finishing touches on an immigration plan as he seeks to reassure Latinos,"The former V.P. acknowledged that his coalitions director, a Latina, quit after expressing frustrations."
Column: Joe Biden is winning the electability primary,Joe Biden turned in his best performance of the debate season on Thursday and has consistently led when voters are asked which Democratic candidate can ...
"He’s no dream candidate, but Joe Biden may be the best hope to oust Trump","The Democratic frontrunner is 77, a moderate, and not the best performer in debates. But he outpolls his more radical rivals, and that may be enough."
Biden: No regrets for talking openly about stuttering,"LOS ANGELES (AP) — Joe Biden has been fighting a stutter since childhood, and he said Friday he has no regrets about talking openly about it after one of his ..."
Why Biden’s Retro Inner Circle Is Succeeding So Far,"While most presidential campaigns produce strategists and operatives who become high-profile political characters in a yearslong drama, you've probably never ..."
Joe Biden is the candidate of Other People. Is that enough?,"Joe Biden is the candidate of Other People. While there have been candidates in the past who made similar arguments about electability, in recent history we ..."
Watch live: Joe Biden meets with Register editorial board,Presidential candidate Joe Biden will meet with the Register editorial board at 1:30 p.m. Friday.
Biden says Warren on list of possible VPs,"Former Vice President Joe Biden said Sen. Elizabeth Warren would be on his list of potential VP nominees, although he claims she'd be ""very angry at my ..."
Joe Biden’s long list of ‘bundlers’ includes several top fund-raisers from the Philly area,"Biden this week released his list of “bundlers,"" — top fund-raisers, not on the campaign payroll, who have brought in at least $25000 for him so far."
"Joe Biden pushes public option as affordable, practical health care in Iowa visit","WILLIAMSBURG - Joe Biden admits his health care plan, which calls for building on the best of the Affordable Care Act, will cost a lot of money - $750 billion ..."
The unexpected nostalgia of Biden’s ‘malarkey’,"Former vice president Joe Biden is aggressively and self-consciously the following things, in no particular order: Irish American, older, a regular guy. Were those ..."
Joe Biden still hasn’t learned the lessons of the Obama presidency,"There's no evidence that reaching out to Republicans did him any good, substantively or politically."
Joe Biden lashes out at voter: 'You think I thought you'd vote for me?' – video,Joe Biden got into a spat with a voter at a campaign event in Iowa on Thursday in an exchange that had the Democratic 2020 hopeful lashing out at the man and ...
Four RI leaders endorse Joe Biden for president,"Four Rhode Island elected officials have endorsed former vice president Joe Biden for president, according to a press release issued Wednesday afternoon."
Biden says he wouldn't comply with Senate subpoena in Trump impeachment trial,Joe Biden said in an NPR interview published on Monday that he would not comply if the U.S. Senate subpoenaed him during its impeachment trial of President ...
"Biden Rebounds, Warren Slows, Sanders Rolls: The Latest on the 2020 Money Race","Senator Elizabeth Warren's slip in the 2020 primary polls has been accompanied by a dip in donations, with her campaign setting a rare public goal: aiming to ..."
What Joe Biden Learned From His 1988 Presidential Campaign : The NPR Politics Podcast,"This week, the NPR Politics Podcast investigates defining moments in the lives of four top Democratic presidential candidates to understand how those ..."
Gov. Lamont plans to campaign for Joe Biden in New Hampshire,Gov. Ned Lamont is expected to travel to New Hampshire to campaign for former VP Joe Biden before the all-important primary on Feb. 11.
Joe Biden Sees Fundraising Improvement After Rough Summer,"Joe Biden took in more than $15 million for his White House run over the past two months, a sum that shows the former vice president's fundraising operation ..."
"Video: 'You're a Damn Liar, Man,' Biden Tells Voter in Iowa",Former Vice President Joseph R. Biden Jr. had a tense exchange with a voter questioning Hunter Biden's overseas business dealings. Mr. Biden also ...
Biden ad says Trump a 'president the world is laughing at',"Democratic presidential candidate Joe Biden released a video assailing President Donald Trump as ""a president the world is laughing at"" in the wake of a viral ..."
Biden's Early Turning Point,Joe Biden's first campaign for president ended in 1987 in the midst of high-stakes Senate Judiciary Committee hearings he chaired. It was a turning point for ...
"Joe Biden is doing terribly among Latino voters, who will be key in 2020 - Business Insider",Biden's approval among Latino voters likely to vote in the Democratic primary is about 40% — a whopping 26% short of his support among black voters.
Someone tell Joe Biden that we don't need him to act like another Trump,LZ Granderson is a journalist and political analyst. He was a fellow at the Institute of Politics at the University of Chicago and the Hechinger Institute at Columbia ...
G.O.P. Tactic on Impeachment: Turn Ukraine Allegations Against Biden,President Trump's re-election campaign has run menacing and misleading ads this fall accusing Joseph R. Biden Jr. of corrupt dealings with Ukraine.
"Joe Biden picks up support from influential Wall Street fundraisers Marc Lasry and Blair Effron, who backed Obama and Clinton","Marc Lasry and Blair Effron, two of the most influential Wall Street Democratic fundraisers, are lining up behind former Vice President Joe Biden in 2020."
John Kerry endorses Joe Biden for president (2019),"Former Secretary of State John Kerry endorsed Joe Biden for president in the 2020 race, saying the former vice president has the character and leadership skills ..."
"Doctor's report calls 77-year-old Biden 'healthy, vigorous'","WASHINGTON (AP) — Joe Biden is ""healthy, vigorous"" and ""fit to successfully execute the duties of the Presidency,"" according to a doctor's report released ..."
"Biden Gets In Spat With Voter In Iowa, Who Challenged Him On His Son And Ukraine",Former Vice President Biden got in a spat with a voter in Iowa who challenged him on his son's business activity in Ukraine and his age. It's not the first argument ...
"Like it or not, Joe Biden is still the frontrunner",Anyone who spends more than ten minutes a day watching cable news would probably walk away with two main impressions: former Vice President Joe Biden's ...
Joe Biden’s Sharpness,This article is part of David Leonhardt's newsletter. You can sign up here to receive it each weekday. If you weren't already familiar with Joe Biden's life story and ...
Veteran Obama fundraiser Louis Susman is backing Joe Biden in bid for president,"Louis Susman, a former ambassador to the U.K. under Obama, tells CNBC in an interview that he will start fundraising for Joe Biden after Beto O'Rourke ..."
Watch: Joe Biden meets with the Register's editorial board,"Former vice president and 2020 presidential candidate Joe Biden meets with the Register's editorial board on Dec. 27, 2019."
Joe Biden welcomed in Waterloo after clash with New Hampton voter,Former Vice President Joe Biden talks to Waterloo voters Thursday after calling a New Hampton man a liar and challenging him to a push-up contest.
Joe Biden gets major South Carolina endorsement from former Harris backers,"Columbia, South Carolina – A prominent group of black women activists in South Carolina that backed Kamala Harris endorsed Joe Biden on Tuesday, further ..."
Joe Biden and Pete Buttigieg court the same voters in Iowa (literally),"Perry, Iowa (CNN) When Pete Buttigieg took the stage here, Cheri Scheib was cheering from the front row, waving a campaign sign and listening intently."
"Fact check: Biden makes misleading comments on his past positions on Iraq, Afghanistan wars","Washington (CNN) Democratic presidential candidate Pete Buttigieg attacked rival Joe Biden on Sunday over Biden's support for the invasion of Iraq, saying ..."
"Lindsey Graham on ""Face the Nation"": ""I love Joe Biden, but none of us are above scrutiny""","Washington — As Democrats and Republicans in Congress battle over impeachment, GOP Senator Lindsey Graham says he's pushing forward with his own ..."
Joe Biden speaks about international relationships at Iowa State,Former Vice President Joe Biden spoke to a room of about 200 people on Wednesday about rebuilding international relationships.
Biden: China cannot be allowed to continue Xinjiang abuses,"During the PBS NewsHour/Politico debate, 2020 candidate Joe Biden said the US should stop tolerating China and seek sanctions and allies to deter its ..."
Joe Biden: Puerto Rico deserves more respect than Donald Trump has given | Commentary,"In a guest column, the presidential candidate criticizes Trump's reaction to Hurricane Maria and says that, if he wins the presidency, he would deliver concrete ..."
77-Year-Old Candidate Hopes ‘No Malarkey’ Bus Will Excite Voters,"As Joe Biden's polling numbers dip in Iowa, he began an eight-day tour of the state in his new “No Malarkey” bus. The tour didn't start off well. In Council Bluffs ..."
Joe Biden announces support from 100 faith leaders in South Carolina,"The Biden campaign is set to announce Wednesday that his team is now backed by more than 100 faith leaders in South Carolina, the home of the ..."
How Biden helped create the student debt problem he now promises to fix,The former vice-president and 2020 presidential hopeful backed a 2005 bill that stripped students of bankruptcy protections and left millions in financial stress.
Joe Biden Wants to End Prison Profiteering. One of His Top Fundraisers Is a Major Player in Prison Health Care.,Michael Neidorff is CEO of Centene: a $60 billion health insurance company whose subsidiary Centurion provides services to prison facilities in 16 states.
Is Candidate Bloomberg Actually Good for Biden?,"The calls started early on a Thursday evening last month, moments after the New York Times reported Michael Bloomberg was expected to jump into the 2020 ..."
Joe Biden Talking About Kids Touching His Hairy Legs in a Swimming Pool Is Not Great Viewing,"In the last two days alone, the Democratic presidential field has lost two candidates. To be fair, not too many people were aware that Montana Governor Steve ..."
SC State Senator Darrell Jackson announces support for Joe Biden,South Carolina State Senator Darrell Jackson announced his support for former Vice President and current 2020 Democratic Presidential hopeful Joe Biden.
Joe Biden and John Kerry together in New Hampshire? ‘No good. No good at all’,Voters down the street from the Joe Biden rally Sunday in New Hampshire shrugged and shook their heads about former Secretary of State John Kerry's ...
What about Trump? Joe Biden deemed healthy to run for President,"Joe Biden has released a letter from his doctor declaring the 77-year-old Democratic candidate to be “healthy, vigorous” and “fit to successfully execute the ..."
Joe Biden’s ‘Modest’ Tax Proposal,The best news about Joe Biden's tax proposals so far is what's absent. There's no confiscatory and constitutionally dubious “wealth tax” on personal net worth.
A coffeehouse Q&A with Joe Biden | News | carrollspaper.com,"American agriculture can get to net-zero carbon emissions and make money doing it while still feeding the world, Democratic presidential candidate Joe Biden ..."
"John Kerry Rallies With Joe Biden, Evoking Some 2004 Parallels","For some voters, seeing John Kerry and Joe Biden campaign together felt like déjà vu."
Joe Biden: prosecute companies that stop workers forming unions,"Sanders, Buttigieg, Booker, Klobuchar and Steyer also discussed the economy, wages and healthcare at a Teamsters forum in Iowa."
What Biden has going for him,"He may not be every voter's cup of tea, but plainly an awful lot of voters, especially African American voters, feel comfortable with him."
VP Joe Biden is leaving rural Iowa for glittery Manhattan fundraisers,"Democratic presidential candidate Joe Biden left rural Iowa for the penthouses of New York for a six-figure night of fund-raising, sticking to a brief stump speech ..."
Ted Strickland endorses Joe Biden in 2020 Democratic primary,"CLEVELAND, Ohio – Former Democratic Gov. Ted Strickland announced today he is endorsing former Vice President Joe Biden in the upcoming 2020 primary ..."
Fightin' Joe Biden and sweet Michael Bennet | Joey Bunch,Joe Biden won't get pushed around. The 77-year-old presidential candidate is out to show voters he can still bring the heat to take on Donald Trump next year.
Biden to Target Tax-Avoiding Companies Like Amazon With Minimum Federal Levy,"Democratic presidential candidate Joe Biden plans to pay for $3.2 trillion in policy proposals with new and higher taxes on the wealthy and corporations, ..."
WATCH: Joe Biden speaks at campaign rally in San Antonio,Former Vice President Joe Biden to make campaign stop in San Antonio on Friday.
"Joe Biden has taken ‘slings and arrows’ but stayed strong for 2020, Ed Rendell says",NEW YORK — Former Vice President Joe Biden had a disappointing fundraising haul in the fall. He's had some uneven debate performances. “Remarkably ...
"Democratic megadonor Alan Patricof: Bloomberg joined too late, 'I'm sticking with Joe Biden'","""If Mike had come out earlier this year, I'm sure a lot of people on Wall Street would have been very supportive,"" says the venture capitalist."
"Where does Joe Biden stand on anti-Semitism, Israel and other issues that matter to Jewish voters in 2020?","Click here to read Joe Biden's exclusive op-ed on anti-Semitism, Israel and his Jewish experiences written for the Jewish Telegraphic Agency. (JTA) — The ..."
Joe Biden announces 4 Rhode Island endorsements,"Four Rhode Island elected officials endorsed former Vice President Joe Biden on Wednesday in his bid for the Democraric presidential nomination, Biden's ..."
